arg-id,comment-id,argument
A1_0,1,客室や大浴場からの眺めがとてもきれい
A1_1,1,屋上からも景色が見える
A1_2,1,大浴場にはケア用品がある
A1_3,1,日帰り入浴ができる
A1_4,1,マグロのかぶと煮がトロトロでとてもおいしい
A1_5,1,サービスと接客が上手
A1_6,1,また行きたい
A2_0,2,休暇でいつも利用している
A2_1,2,夕食は豪華で、一品一品説明を加えて提供してくれる
A2_2,2,館内は清掃が行き届いている
A2_3,2,お風呂からの海の景色が素晴らしい
A2_4,2,屋上から見る海の景色もお気に入り
A2_5,2,大事な人と過ごすのに最適な宿
A3_0,3,三陸の朝ご飯が美味しい
A3_1,3,穏やかな海を望む温泉が静かで落ち着く
A3_2,3,部屋は狭かった
A3_3,3,眺望が望めない側の部屋ではくつろげない
A3_4,3,岩手が好き
A4_0,4,三陸自動車道碁石海岸ICの近くで便利
A4_1,4,JR大船渡線大船渡丸森駅に隣接している
A4_2,4,リーズナブルなプランでも特に不満はない
A4_3,4,掃除が行き届いており快適
A4_4,4,大浴場・更衣室が清潔でリラックスできる
A4_5,4,屋上からの大船渡湾の絶景が神々しい
A4_6,4,朝食がボリューム満点で美味しい
A4_7,4,また利用したい
A5_0,5,夫婦で宿泊
A5_1,5,山側6畳の部屋は駐車場側で暗い感じはない
A5_2,5,部屋は狭いが物品の不足はない
A5_3,5,海側の部屋はオーシャンビューで部屋風呂からも海が見える
A5_4,5,フロント正面から大船戸湾が綺麗
A5_5,5,湾にはホタテ、カキ、ホヤのいかだが並んでいる
A5_6,5,風呂は朝の9時までフリーで入れる
A5_7,5,サウナはなし
A5_8,5,野球の佐々木朗希お勧めの酢の素とワカメがある
A6_0,6,日帰りで訪れた
A6_1,6,露天風呂からの雄大な景色と潮騒が最高
A6_2,6,お湯がしょっぱくてとても温まる
A6_3,6,駐車場がとても広い
A6_4,6,おすすめ
A7_0,7,駐車場が広い
A7_1,7,入口左手奥に足湯場があり、海を見ながらゆったり浸かれる
A7_2,7,屋上のデッキで朝日が見られ、潮風が気持ち良い
A7_3,7,ホテルにプライベートビーチがある
A7_4,7,温泉は内湯と露天風呂があり広い
A7_5,7,朝食は和食でワカメが売り
A7_6,7,清潔で良いホテル
A8_0,8,日帰り温泉が480円で関東ではありえない安さ
A8_1,8,浴室が広くて綺麗
A8_2,8,海の景色を見ながら露天風呂に入れる
A9_0,9,日帰り温泉を利用
A9_1,9,料金は一人480円で安く感じた
A9_2,9,お風呂は普通の湯加減、ぬるめ、露天風呂の3種類
A9_3,9,洗い場は広く、シャンプー･コンディショナー･ボディーソープが揃っている
A9_4,9,露天風呂から眺める太平洋が圧巻
A9_5,9,全体的に清潔感がある
A9_6,9,リピートしたい
A10_0,10,漁師民宿が大規模ホテル化したような感じ
A10_1,10,夕食の海鮮物は量、質ともに素晴らしい
A10_2,10,朝夕の露天風呂からの眺望が絶佳
A10_3,10,また近くに行くことがあれば利用したい
A11_0,11,夫婦2人の時間を大切にするため、結婚月に旅行を始めた
A11_1,11,宮城県北・岩手県南を2日間巡る
A11_2,11,宿は自然と調和した立地で、ロケーションと食が特徴
A11_3,11,部屋は特別室で、大船渡港を望める開放的な空間
A11_4,11,お風呂は広く、夜通し利用可能
A11_5,11,夕朝の2食が量質ともに大満足
A11_6,11,生魚が不得手な場合、メニュー変更が可能
A11_7,11,宿泊者限定のプライベートビーチ「潮音浜」がある
A11_8,11,朝日が格別で、足湯からも楽しめる
A11_9,11,大満足の滞在で、冬場の再訪を考えている
A12_0,12,1人一泊28000円の料金に対して部屋が小さく驚いた
A12_1,12,夕食は魚ばかりで野菜がほとんどなかった
A12_2,12,朝食の鮭が小さく驚いた
A12_3,12,料金と価格が見合っておらず、コスパが悪い
A13_0,13,とても綺麗でスタッフの対応が良い
A13_1,13,ベッドのお部屋もある
A13_2,13,朝食のみのプランでお得に宿泊できた
A13_3,13,朝食も満足できる内容
A13_4,13,温泉は男女別で内風呂と露天風呂があり、深夜も利用可能
A13_5,13,露天風呂は周りが真っ暗で少し怖いかもしれない
A13_6,13,海側の敷地に間接照明があると良い
A13_7,13,プライベートビーチがあり、カモシカの親子に遭遇した
A13_8,13,売店か自販機でアイスがあると嬉しい
A13_9,13,大船渡温泉をおすすめ
A14_0,14,日帰り入浴で訪問
A14_1,14,平日以外は11時～14時
A14_2,14,エントランスに入ると絶景が見える
A14_3,14,現金は発券機で、キャッシュレスはフロントで支払える
A14_4,14,一人480円で安い
A14_5,14,ロビーや風呂からの眺望が素晴らしい
A14_6,14,脱衣場は鍵付きミニロッカーと篭の棚がある
A14_7,14,風呂は空いていた
A14_8,14,内湯と露天風呂がある
A14_9,14,露天と低温湯は3人くらいでいっぱいな大きさ
A14_10,14,アメニティが揃っている
A14_11,14,泉質は微かに塩味があり、サラリとした湯
A14_12,14,最後に低温湯で仕上げた
A14_13,14,孫へのお土産に三鉄の列車型めざまし時計を購入
A15_0,15,脱衣場に忘れた小銭入れを確認してもらい、書留で送ってもらった
A15_1,15,スタッフの対応がとても良い印象
A15_2,15,お風呂が清潔で気持ちよく入浴できた
A15_3,15,次回は宿泊で利用したい
A16_0,16,ずっと行きたいと思っていた温泉
A16_1,16,日帰り入浴は11時から営業開始
A16_2,16,窓から見える景色が素晴らしい
A16_3,16,温泉はぬるめの温度で気持ち良い
A16_4,16,次は宿泊したい
A16_5,16,売店で買った海藻スナックがお土産に喜ばれる
A17_0,17,日帰り入浴で利用
A17_1,17,洗い場が広く席数も充分
A17_2,17,シャンプー、リンス、ボディソープ完備
A17_3,17,洗顔、パック、ピーリングジェルもあり
A17_4,17,料金は￥480で普通の銭湯と変わらない
A17_5,17,内風呂が広く、露天風呂からの海辺の景色が最高
A17_6,17,外に足湯もある
A17_7,17,また利用したい
A18_0,18,2020年10月にコロナ禍の中で宿泊
A18_1,18,安価で豪華な食事
A18_2,18,温泉がある
A18_3,18,広いくつろげるロビー
A18_4,18,とても思い出になった
A19_0,19,地元の魚介を中心にした豪華な料理が次々と運ばれてくる
A19_1,19,殻付き生ウニ、鮑、ホタテ、カジキマグロのカマなど魚介好きにはたまらない
A19_2,19,お宿からの絶景を楽しみにしていたが、天気に恵まれず
A19_3,19,海を眺めながらのお部屋やお風呂は癒される
A20_0,20,ロケーションは最高
A20_1,20,食事は普通
A20_2,20,朝食時のオペレーションがぐだぐだ
A20_3,20,露天風呂は大人5人分くらいの広さ
A21_0,21,日帰り温泉で利用している
A21_1,21,フロントの方がテキパキとして感じが良い
A21_2,21,温泉が綺麗
A21_3,21,露天風呂からの海や月、星空がとても綺麗
A22_0,22,温泉の回数券を購入し、気仙沼から通っている
A22_1,22,海に面した露天風呂がある
A22_2,22,室内には熱い方とぬるい方の2つの風呂がある
A22_3,22,広々としてゆっくりできる
A23_0,23,大きな民宿のような印象
A23_1,23,施設も食事も特に手の込んだものではない
A23_2,23,わかめがたくさん出てきた
A23_3,23,兜煮はお代わり自由で、味噌味の鯖缶に似ている
A23_4,23,焼き魚はスーパーで売っているような鮭の切り身
A23_5,23,鮑の刺身は美味しかった
A23_6,23,天ぷらはドライブインで出てくるような感じ
A23_7,23,肉料理はなかった
A23_8,23,朝食は秋刀魚の味醂干しがメインで、もう少し何か欲しい感じ
A24_0,24,震災で打撃を受けた地域にある貴重な温泉宿
A24_1,24,部屋が狭い
A24_2,24,復興工事関連の宿泊者が多い
A24_3,24,料理は夜も朝も海の幸が豊富
A25_0,25,日帰り温泉を利用
A25_1,25,雨で絶景とは言えなかったが露天風呂からの眺めは素晴らしかった
A25_2,25,写真撮影用の法被や大漁旗がある
A25_3,25,次回は宿泊したい
A26_0,26,夕食が地元のものでボリュームが最高
A26_1,26,飲み物が手軽な値段
A26_2,26,露天風呂が少し狭い
A26_3,26,部屋に冷蔵庫があるのは助かる
A27_0,27,日帰り温泉を480円で利用
A27_1,27,内風呂2つ、外湯1つ
A27_2,27,外湯が狭く、お湯が汚れていて透明感がない
A27_3,27,外湯に2回浸かるのを断念した
A28_0,28,海沿いの高台に立つ眺めの良いホテル
A28_1,28,玄関で靴を脱ぐので旅館的な寛ぎがある
A28_2,28,朝食は昆布やわかめなど海藻類が豊富で三陸らしいメニュー
A28_3,28,手作りが多く優しい味
A28_4,28,フェイスタオルは標準で備え置きがない
A29_0,29,日帰りで年間4から5回来ていたが、今回初めて泊まった
A29_1,29,温泉はぬるま湯が好きで15分位ゆっくり入れる
A29_2,29,客室の眺めは最高だが、4人で泊まるには狭い
A29_3,29,夕飯の量と質は問題ないが、ワカメだけの茶碗蒸しにもう一つ具材が欲しい
A29_4,29,朝ごはんの卵焼きは手作りで嬉しいが、コーヒーに行列ができる
A29_5,29,敷き布団で身体が痛くなった
A29_6,29,従業員は若くて挨拶が元気
A29_7,29,朝出発のときに大漁旗で見送ってくれる
A30_0,30,海の幸を中心とした夕食が最高に美味しかった
A30_1,30,料理はかなりのボリュームがあるが、好きな物から食べれるだけ食べてくださいと案内があった
A30_2,30,宿はややコンパクトだが清潔感がある
A30_3,30,風呂や部屋からの景色が抜群
A30_4,30,接客が親切で安心感があった
A30_5,30,職場の同期との温泉旅行が思い出深いものになった
A31_0,31,朝日が最高
A31_1,31,露天風呂から見る月がとても綺麗
A31_2,31,早起きできるなら朝日をぜひ見てほしい
A31_3,31,料理が最高
A31_4,31,ワカメが最高
A32_0,32,いろんな旅館を利用した中で、食事が一番美味しい
A32_1,32,刺身、煮物、焼物、魚介類が素晴らしい
A32_2,32,ホヤが美味しい
A32_3,32,わかめのしゃぶしゃぶが絶品
A32_4,32,朝食の鍋焼が最高
A33_0,33,部屋が暑くて臭い
A33_1,33,設備がしょぼい
A33_2,33,料理が広告と違う
A33_3,33,宿泊費用が高い
A33_4,33,大船渡にはもう立ち寄らない
A34_0,34,スタッフのサービスが良い
A34_1,34,部屋からの景色が良い
A34_2,34,朝食がちょっと甘めで申し分ない
A34_3,34,部屋が簡易宿泊所のようで残念
A34_4,34,布団は羽毛にしてほしかった
A35_0,35,三陸自動車道大船渡碁石海岸インターチェンジから至近で便利
A35_1,35,周辺の観光地は碁石海岸や道の駅高田松原、気仙沼・釜石・宮古方面
A35_2,35,宿は大船渡の湾口を望む高台にあり、浴室からの眺望が良い
A35_3,35,山側の部屋はリーズナブルに利用できる
A35_4,35,部屋はシンプルで必要な機能が揃っており、手入れも行き届いている
A35_5,35,夕食は海産物が抜群で、マグロのカマ煮込みが絶品
A35_6,35,朝食も海産物中心で小鉢の数が多く、見た目も華やか
A35_7,35,部屋・風呂・部屋を総合してコスパ抜群でリピートしたくなる
A36_0,36,料理がすごい
A36_1,36,地元の魚介を中心に美味しい料理がどんどん出てくる
A36_2,36,名物のカジキマグロの煮付けがトロトロで美味しい
A36_3,36,おかわりし放題
A36_4,36,お風呂の景色が良い
A36_5,36,サウナはない
A37_0,37,海沿いの天然温泉
A37_1,37,漁師飯がいただける宿
A37_2,37,海側の部屋からの眺めが最高
A37_3,37,夜通しお風呂に入れる
A37_4,37,露天風呂から日の出が見られる
A37_5,37,料理はボリュームがあり、手作りで美味しい
A37_6,37,メカジキのカマの煮付けが特に美味しい
A37_7,37,朝食にご当地の焼き菓子『なべやき』がある
A37_8,37,佐々木朗希さんオススメの酢のドリンクが飲める
A37_9,37,お風呂場のアメニティが豊富
A37_10,37,お湯も料理も良い宿
A38_0,38,絶景が見える温泉
A38_1,38,ロビーからの景色が美しい
A38_2,38,露天風呂からの景色も美しい
A38_3,38,ご飯が美味しい
A38_4,38,おかずの量が多く、食べきれないこともある
A38_5,38,食べる量に自信がない方はご飯を無しにすることを推奨
A39_0,39,岩手県の海沿いにある天然温泉
A39_1,39,海を眺めながらゆったり温泉に浸かれる
A40_0,40,雰囲気の割にはリーズナブルで館内も落ち着いている
A40_1,40,朝食付きプランと夕食付きプランの差額が大きい
A40_2,40,リーズナブルな夕食付きプランがあると便利
A40_3,40,夕食のために大船渡まで外出するのは不便
A41_0,41,オーナーが漁師で、美味しくボリューム満点の料理を提供
A41_1,41,スタッフが親切で丁寧な応対をしてくれる
A41_2,41,滞在中に不安を感じさせない
A42_0,42,到着時に笑顔で元気よく迎えてくれる
A42_1,42,スタッフが感じが良く丁寧
A42_2,42,5階の海側の部屋はシンプルで眺望が素晴らしい
A42_3,42,最初からお布団が敷かれている方が気楽
A42_4,42,手作りの料理がほとんどで全て美味しい
A42_5,42,一人利用で2万円以下でこの料理はすごい
A42_6,42,ワカメの茶碗蒸しと自家製ツナが美味しかった
A42_7,42,マグロの兜煮も美味しいが、お腹一杯になった
A42_8,42,お夕食に出るワカメ煎餅を買って帰った
A43_0,43,冷鉱泉の沸かし湯で480円は良心的価格
A43_1,43,浴室がきれいで洗い場がたくさんある
A43_2,43,ぬる湯があるのが嬉しい
A44_0,44,何度も泊まっている
A44_1,44,山側の部屋を予約しても、空きがあれば海側に変更してくれる
A44_2,44,風呂付きの部屋は海側に風呂があり最高
A44_3,44,恋人と行くのがオススメ
A44_4,44,料理の量が多く、海の幸満載で満足
A44_5,44,朝食も豪華
A44_6,44,海がどこでも一望できる
A45_0,45,初めて訪れた
A45_1,45,露天風呂から見る大船渡湾が美しい
A45_2,45,更衣室が広くて便利
A45_3,45,今度は宿泊もしたい
A45_4,45,入浴料金が大人480円、中人170円、小人80円でお得
A45_5,45,タオル販売価格は200円、レンタルバスタオルは300円、浴衣＆バスタオルセットは600円
A46_0,46,日帰り温泉を利用
A46_1,46,フロントのスタッフが親切
A46_2,46,大船渡湾が一望できて絶景
A47_0,47,この値段で料理とサービスがとても良かった
A47_1,47,気持ちがほっこりする素朴なおもてなし
A47_2,47,いつまでも続けて欲しい
A48_0,48,温泉が広く、内風呂はぬるめと熱めの2ヶ所、露天風呂も十分な広さと温度で海を一望できる
A48_1,48,シャワーで流しただけで髪がサラサラになった
A48_2,48,露天風呂に虫が浮いていることがあり、虫をとる網があると良い
A48_3,48,女性の脱衣室の清掃が不十分で不快だった
A48_4,48,従業員の接客が素晴らしく、笑顔で丁寧な対応
A48_5,48,夜ご飯は海鮮づくしで量が多い
